VCD info: dumpfile cache_controller_tb.vcd opened for output.
time=    0 | addr=000000 | hit=0 | cdout=00000000 | cache[0][0]=0000000000000000000000000000000000000000000000000000000000000000
time=  600 | addr=000800 | hit=0 | cdout=00000000 | cache[0][0]=0000000000000000000000000000000000000000000000000000000000000000
time= 1600 | addr=000800 | hit=1 | cdout=00000000 | cache[0][0]=0000000000000000000000000000000000000000000000000000000000000000
time= 2000 | addr=000800 | hit=0 | cdout=00000000 | cache[0][0]=0000000000000000000000000000000000000000000000000000000000000000
time= 2200 | addr=000800 | hit=1 | cdout=00000000 | cache[0][0]=0000000000000000000000000000000000000000000000000000000000000000
time= 2400 | addr=001000 | hit=0 | cdout=00000000 | cache[0][0]=0000000000000000000000000000000000000000000000000000000000000000
time= 3400 | addr=001000 | hit=1 | cdout=00000000 | cache[0][0]=0000000000000000000000000000000000000000000000000000000000000000
time= 3600 | addr=001800 | hit=0 | cdout=00000000 | cache[0][0]=0000000000000000000000000000000000000000000000000000000000000000
time= 4600 | addr=001800 | hit=1 | cdout=00000000 | cache[0][0]=0000000000000000000000000000000000000000000000000000000000000000
time= 4800 | addr=002000 | hit=0 | cdout=00000000 | cache[0][0]=0000000000000000000000000000000000000000000000000000000000000000
time= 5800 | addr=002000 | hit=1 | cdout=00000000 | cache[0][0]=0000000000000000000000000000000000000000000000000000000000000000
time= 6000 | addr=002800 | hit=0 | cdout=00000000 | cache[0][0]=0000000000000000000000000000000000000000000000000000000000000000
time= 7000 | addr=002800 | hit=1 | cdout=00000000 | cache[0][0]=00000000000000000000000000000000000000000000000000000000eeee5555
time= 7400 | addr=002800 | hit=0 | cdout=eeee5555 | cache[0][0]=00000000000000000000000000000000000000000000000000000000eeee5555
time= 7600 | addr=002800 | hit=1 | cdout=00000000 | cache[0][0]=00000000000000000000000000000000000000000000000000000000eeee5555
